"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
"62168",4,4,4,5,3,4,4,4,5,5,3,4,3,3,5,4,4,4,5,5,5,3,4,4,4
"62170",2,6,5,5,6,5,4,6,6,5,6,4,5,6,5,6,3,6,4,5,4,2,4,6,5
"62171",6,6,5,6,5,3,3,5,3,3,3,2,4,3,5,5,5,4,2,3,5,4,5,6,5
"62173",6,6,6,6,5,6,4,4,6,2,6,6,6,3,3,4,2,2,5,3,6,1,4,6,6
"62176",3,4,6,5,4,4,5,3,2,3,5,3,4,5,3,5,3,5,4,4,5,3,4,4,3
"62179",2,5,5,1,5,6,5,2,1,1,3,3,6,3,3,2,3,3,2,3,6,1,6,6,3
"62180",4,4,4,3,2,6,5,5,6,4,5,2,5,2,5,3,2,4,1,6,6,6,6,6,6
"62181",1,6,6,6,6,5,5,6,1,6,6,6,6,6,6,1,4,5,5,2,1,5,6,6,1
"62182",5,6,5,6,5,6,5,5,6,6,2,6,5,5,6,2,3,5,5,6,6,6,5,6,5
"62183",3,1,4,6,6,6,4,4,5,1,6,6,6,6,5,6,5,6,6,6,4,4,4,2,2
"62189",4,5,4,5,5,5,6,5,5,6,4,4,4,6,5,6,5,5,6,5,4,2,3,4,4
"62192",5,4,5,5,5,4,4,4,5,4,4,3,3,5,3,2,2,5,3,3,4,3,4,2,5
"62197",6,5,5,5,5,5,4,5,6,6,5,5,3,5,5,6,5,5,5,5,2,5,5,4,5
"62198",6,6,6,5,5,5,6,5,5,2,3,3,3,6,5,4,3,5,5,1,4,5,5,5,4
"62199",3,5,4,3,4,4,4,5,3,2,3,3,4,4,5,5,5,2,2,4,6,5,3,6,1
"62201",4,5,4,5,5,5,5,3,3,1,6,1,5,6,6,1,1,2,3,2,6,1,3,4,5
"62202",3,5,6,4,6,4,5,5,4,4,6,6,5,5,6,5,3,3,NA,6,6,5,5,5,4
"62203",6,6,6,6,6,6,5,6,6,4,6,6,6,6,6,6,6,6,4,4,6,6,6,5,4
"62204",6,5,6,6,6,5,6,6,2,6,3,6,6,6,5,2,6,2,2,5,6,2,5,5,5
"62205",5,4,4,4,5,4,5,4,5,3,6,6,5,6,6,3,2,1,3,3,6,4,5,4,6
"62206",4,5,6,6,6,4,5,6,4,6,5,6,5,2,6,2,3,6,5,4,4,2,5,6,3
"62208",6,5,6,5,6,6,5,5,6,5,5,6,5,5,6,5,5,5,5,6,5,6,6,4,5
"62209",6,4,4,2,5,5,4,3,5,3,2,2,4,2,3,3,3,3,2,3,4,5,2,5,3
"62212",3,6,6,6,5,4,4,5,5,2,6,6,4,5,5,3,2,3,3,2,5,6,6,6,6
"62213",5,6,5,6,3,3,3,5,4,2,6,3,3,5,2,3,2,1,3,3,2,3,3,6,4
"62214",4,4,5,4,4,4,4,3,3,2,2,3,3,3,4,2,2,4,4,4,4,4,5,5,4
"62215",5,6,6,6,6,5,4,5,6,6,6,6,5,5,5,3,4,5,5,4,5,6,5,4,5
"62216",5,2,2,4,3,3,2,4,3,1,3,3,3,3,3,6,4,4,2,6,4,1,3,4,3
"62219",5,5,4,6,4,4,5,4,4,3,6,4,3,4,4,3,3,2,4,2,4,3,4,4,5
"62220",4,4,6,6,4,4,4,5,2,3,5,3,4,3,3,1,1,1,3,2,3,3,5,4,3
"62224",6,5,5,6,5,5,4,5,5,6,6,4,5,6,5,4,3,3,4,3,5,4,4,4,5
"62225",5,5,6,5,4,3,5,5,5,6,3,2,4,1,6,1,1,1,1,3,4,5,6,6,5
"62226",5,4,2,4,4,5,3,5,5,4,1,3,4,5,5,3,3,4,4,5,5,5,5,5,3
"62227",6,6,6,6,6,6,4,4,4,3,6,6,6,6,6,6,5,3,5,5,6,6,6,6,6
"62228",6,6,6,6,5,5,4,6,5,5,5,3,4,6,3,2,1,4,5,3,3,2,3,3,6
"62231",6,5,5,6,5,2,4,5,2,2,4,2,5,5,2,4,3,3,3,5,1,3,3,5,3
"62233",5,5,5,5,5,5,5,5,5,6,5,5,4,5,5,6,6,6,6,6,5,6,5,2,5
"62237",4,4,5,5,5,4,4,5,3,3,2,3,3,NA,4,4,3,5,3,3,3,2,3,3,3
"62239",4,6,5,5,5,4,4,5,3,3,6,5,5,6,6,3,3,3,4,2,6,5,5,4,4
"62240",6,5,6,4,6,5,3,3,3,2,6,6,5,6,5,3,1,1,2,1,6,5,6,5,6
"62242",2,6,6,6,6,4,5,4,4,2,6,5,4,6,6,3,2,6,5,4,6,1,5,6,5
"62244",6,6,6,1,5,5,6,6,2,1,6,4,6,5,5,3,3,6,5,5,5,4,4,5,2
"62245",4,4,4,4,3,3,2,2,3,1,2,4,4,4,5,3,2,5,4,6,4,5,5,5,4
"62246",3,5,5,6,6,3,5,6,5,6,1,1,1,5,6,5,4,4,5,6,5,4,1,3,3
"62252",4,4,4,3,4,4,4,4,3,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4
"62259",6,5,5,6,5,5,6,2,6,2,4,4,5,6,4,5,3,2,3,3,6,6,6,6,6
"62260",6,5,5,5,4,4,4,4,5,5,3,3,4,2,5,6,5,6,6,5,4,5,5,6,5
"62261",5,6,6,5,5,5,2,6,2,2,1,2,3,4,2,5,5,5,3,5,4,2,3,4,4
"62263",4,5,6,4,5,4,3,5,4,3,6,5,4,5,4,5,4,2,3,4,4,4,5,6,2
"62264",3,5,4,5,4,5,5,4,6,6,5,5,4,5,5,4,3,3,3,3,5,6,5,4,6
"62265",5,6,4,2,5,5,5,4,5,3,5,3,3,2,6,5,2,1,2,5,6,6,6,NA,6
"62266",2,2,3,2,3,5,4,3,5,4,3,2,4,4,1,5,3,2,2,3,5,6,5,6,4
"62267",6,6,5,6,5,5,6,6,5,6,2,5,5,1,6,2,3,2,3,5,6,2,3,6,2
"62272",4,4,4,4,4,6,6,5,6,5,5,5,5,5,6,5,5,5,5,3,5,1,6,6,3
"62276",6,6,6,4,6,4,5,5,5,4,6,6,6,6,5,4,2,2,5,5,5,2,6,6,NA
"62278",4,5,6,6,6,3,5,3,5,5,5,3,4,4,4,5,4,6,5,4,5,2,4,5,NA
"62279",6,6,5,4,5,6,5,5,6,5,6,3,1,5,4,5,3,3,5,1,2,6,4,6,3
"62280",5,5,5,6,5,4,4,4,6,5,4,5,4,5,5,6,6,6,5,6,5,5,4,5,5
"62281",6,6,6,6,6,5,4,6,6,5,6,5,6,6,6,6,3,3,6,6,5,3,6,4,3
"62282",4,5,5,6,1,6,5,5,3,1,6,6,6,3,6,1,1,1,2,6,6,6,6,3,6
"62287",5,4,4,6,2,5,5,5,5,6,4,1,5,4,5,2,2,1,2,2,5,5,4,6,6
"62288",4,5,6,4,6,2,1,5,1,1,6,6,5,5,1,6,6,4,1,3,6,5,2,4,6
"62289",4,5,4,2,2,4,4,4,5,5,3,3,2,4,4,2,1,1,1,1,5,6,3,6,5
"62290",5,5,3,2,2,5,3,4,3,3,5,5,4,4,5,5,5,3,5,5,4,5,5,6,6
"62293",5,6,6,6,6,4,5,5,6,5,5,5,3,5,6,5,4,4,6,6,5,5,3,2,6
"62295",5,2,6,2,2,6,6,6,6,5,1,5,6,1,6,2,2,2,2,6,6,6,6,6,6
"62296",5,6,6,6,6,4,5,4,5,5,6,6,5,6,5,5,5,5,6,5,4,6,5,5,3
"62298",2,2,2,2,5,5,5,6,5,2,3,2,3,3,3,2,2,2,1,2,5,6,5,6,6
"62299",3,4,4,4,4,5,5,5,2,2,4,4,3,3,3,3,3,3,3,3,3,4,3,3,4
"62300",4,3,4,6,3,4,4,3,3,3,2,2,2,3,5,3,2,3,3,5,5,5,3,4,4
"62301",6,6,5,6,5,5,5,5,5,3,5,5,5,5,5,5,3,5,3,6,5,6,6,6,6
"62303",5,NA,5,5,2,5,5,6,6,5,1,2,2,4,5,5,5,3,5,3,4,6,NA,4,3
"62305",3,5,5,6,4,4,4,3,4,3,1,1,3,2,3,3,3,4,4,2,NA,3,3,6,5
"62307",6,5,4,5,6,6,6,2,1,1,6,6,6,6,6,1,1,1,1,2,6,2,6,6,6
"62312",5,2,5,4,4,5,5,4,4,2,2,2,4,5,4,4,5,3,3,5,6,5,6,6,5
"62313",6,6,6,6,4,5,5,3,3,2,3,3,4,5,3,3,3,2,1,3,6,6,6,6,6
"62316",5,6,5,5,6,4,6,5,6,5,4,5,5,5,5,6,5,4,NA,5,5,5,6,4,5
"62317",3,4,3,2,3,4,4,5,5,4,5,3,4,1,5,1,1,2,2,2,4,6,5,5,3
"62325",6,4,6,6,6,5,6,4,6,6,4,3,6,6,6,6,4,4,3,5,6,6,6,5,6
"62327",5,6,6,6,5,4,6,6,5,2,1,1,2,3,4,2,NA,2,2,1,6,3,1,6,3
"62328",4,2,6,1,6,3,1,5,5,2,4,2,2,4,5,2,1,1,1,2,NA,5,1,6,6
"62330",4,5,5,5,5,3,5,5,5,6,6,6,5,6,5,1,1,2,2,4,5,2,6,6,3
"62333",6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,1,6,6,6,6,6,3,6,6
"62335",5,5,5,6,4,3,3,4,3,5,2,2,4,3,3,5,3,2,1,3,4,2,4,5,3
"62336",6,5,4,3,2,6,5,2,6,2,5,5,1,2,2,3,3,2,2,5,4,4,4,5,4
"62339",4,5,3,4,4,3,2,5,3,2,5,2,3,3,4,3,2,3,5,5,4,2,3,5,3
"62342",6,5,5,5,5,4,1,2,1,4,5,6,5,3,6,1,2,5,3,NA,6,6,6,6,6
"62343",5,4,2,6,5,5,4,4,1,2,2,1,3,3,5,3,3,3,4,3,3,5,2,2,3
"62344",6,6,5,6,5,5,6,4,5,3,6,6,5,6,6,5,5,3,5,5,4,2,6,5,6
"62345",5,4,4,6,5,4,4,4,4,3,6,6,5,5,6,5,3,4,4,6,6,6,6,4,5
"62346",6,5,5,5,5,5,4,5,4,4,4,5,5,5,5,2,2,3,3,4,6,3,6,6,5
"62347",5,4,5,6,5,4,3,3,2,2,2,3,5,3,1,4,3,3,2,2,4,5,4,5,5
"62348",2,5,5,6,5,4,5,6,3,4,2,3,4,4,6,1,1,1,2,3,3,1,3,5,3
"62349",5,5,5,6,5,6,6,5,6,4,6,6,4,4,6,3,3,6,2,4,5,5,4,6,6
"62350",5,5,1,6,4,4,4,6,3,5,3,4,4,5,4,4,2,3,3,3,4,3,5,5,3
"62351",3,6,6,4,4,6,4,6,6,3,6,2,5,2,5,3,1,3,5,2,6,4,4,6,5
"62352",5,5,5,6,5,5,5,5,6,6,5,5,4,5,4,4,3,3,3,3,4,4,4,5,4
"62353",4,5,1,4,4,2,4,4,3,3,3,5,5,4,5,3,3,2,5,6,5,6,6,5,6
"62354",5,5,5,4,5,4,4,5,4,5,3,2,5,6,3,2,1,5,6,3,4,2,4,3,4
"62358",5,3,6,4,5,3,3,5,4,3,4,6,6,5,6,6,5,3,3,6,6,2,6,6,3
"62359",6,5,5,6,5,5,5,5,5,3,3,NA,4,5,3,4,2,3,3,3,5,2,4,5,4
"62360",3,2,5,5,5,4,4,3,3,1,3,5,3,3,4,5,5,3,4,5,4,4,3,5,3
"62362",6,5,5,5,4,5,4,5,3,2,2,2,1,2,4,2,2,5,4,4,4,5,5,6,6
"62363",5,5,5,6,6,4,5,2,3,3,1,2,5,4,4,6,4,3,3,1,5,5,5,5,4
"62366",3,3,6,6,6,5,6,5,6,4,6,6,3,5,6,6,1,3,5,6,5,6,5,1,5
"62367",4,4,6,6,6,6,4,5,6,5,3,6,5,4,5,2,2,3,3,1,4,3,5,5,5
"62368",6,6,1,6,5,4,1,2,2,1,6,6,5,5,6,5,3,1,1,2,6,6,6,6,6
"62369",6,5,3,6,5,2,5,5,6,5,5,3,6,5,5,6,5,5,4,4,6,6,5,6,6
"62370",6,6,6,4,5,4,5,2,4,1,4,3,4,6,4,5,3,3,5,2,5,6,4,5,5
"62371",3,5,2,6,5,3,2,4,4,1,6,2,4,3,2,2,1,5,5,2,4,5,4,5,4
"62375",6,6,5,3,6,5,6,6,6,5,3,3,4,6,5,3,3,4,5,6,6,6,5,6,6
"62376",NA,5,4,3,4,4,3,3,4,3,3,5,4,4,4,4,4,3,4,5,5,5,4,4,4
"62377",3,6,5,6,6,5,5,5,2,3,6,6,6,6,6,3,3,1,3,6,6,5,6,6,5
"62380",6,6,5,2,2,4,1,5,1,1,1,1,3,2,1,3,2,2,2,5,5,1,5,6,5
"62382",1,6,6,6,6,3,6,2,2,2,5,5,6,6,6,1,1,1,1,1,6,2,5,6,5
"62384",6,4,2,5,3,5,5,5,4,3,3,2,3,3,2,5,5,4,3,2,4,5,4,5,5
"62387",4,5,4,4,3,5,5,4,5,3,2,5,3,4,4,3,3,3,4,5,6,6,5,5,5
"62390",6,6,6,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"62391",5,5,5,5,3,5,5,5,6,3,3,3,3,3,5,3,3,3,3,5,6,6,5,4,6
"62394",6,5,3,5,4,5,4,3,6,3,4,5,4,5,5,4,3,5,4,5,5,3,4,5,6
"62397",6,6,5,6,6,6,6,6,6,6,6,6,4,6,5,6,6,6,6,6,6,6,6,6,6
"62401",6,5,5,6,4,5,5,4,6,6,4,4,3,4,5,5,5,5,5,3,5,6,5,5,6
"62408",3,4,5,1,5,5,4,4,5,2,6,3,6,6,5,4,3,3,5,2,3,4,5,6,2
"62412",5,3,4,1,2,3,5,3,6,6,1,1,1,2,3,6,6,5,5,5,5,5,3,5,4
"62416",5,6,6,4,6,6,5,5,4,5,6,6,3,6,5,6,6,6,6,6,5,6,5,1,1
"62419",3,6,6,6,5,4,5,6,NA,6,6,4,6,6,6,6,1,1,4,3,6,6,6,5,6
"62421",3,4,4,4,5,5,5,4,5,4,3,5,4,4,5,5,3,2,3,2,4,6,4,5,4
"62423",5,6,5,6,3,5,6,5,5,4,4,5,5,5,5,4,2,2,6,3,4,5,4,6,5
"62426",5,4,4,6,NA,5,4,5,3,3,1,3,4,5,2,6,5,4,3,5,3,6,2,4,2
"62433",2,6,6,5,6,5,6,2,5,3,4,3,5,5,5,4,4,5,3,4,6,3,5,6,3
"62434",6,5,6,6,6,6,5,5,6,6,5,3,5,6,5,5,4,5,5,3,5,6,4,5,5
"62435",5,5,5,4,6,5,5,5,5,5,2,3,5,4,5,6,6,6,6,4,5,3,4,4,5
"62438",3,4,4,NA,5,4,4,4,NA,4,3,5,4,NA,5,3,3,3,3,3,5,3,NA,5,5
"62440",6,6,5,5,6,3,4,5,2,1,3,2,6,6,4,3,3,3,1,3,6,6,6,6,4
"62443",3,2,4,6,5,5,5,4,6,5,4,5,3,5,5,4,3,5,6,6,3,3,1,4,5
"62444",5,5,5,4,4,2,3,3,3,4,6,1,4,3,6,3,2,3,3,5,6,5,5,6,5
"62447",5,6,6,6,6,5,5,5,6,2,2,6,5,5,6,2,2,2,3,5,6,5,6,5,6
"62448",6,6,2,6,5,5,5,5,3,5,5,1,1,4,5,3,5,6,5,4,6,2,3,6,2
"62450",6,6,6,6,6,6,5,3,4,3,5,6,5,5,6,5,3,3,4,6,6,6,6,6,5
"62453",5,5,5,6,4,4,5,4,5,4,5,4,4,4,5,4,4,6,6,5,5,6,4,4,5
"62454",4,3,6,2,6,3,4,3,3,3,6,6,6,6,5,4,4,3,6,5,NA,3,6,5,5
"62457",3,4,NA,3,4,5,3,4,4,4,5,5,3,3,5,4,4,5,5,5,5,5,3,4,2
"62462",6,5,3,4,4,6,4,4,6,6,4,3,3,5,5,4,4,4,6,4,4,3,3,4,4
"62463",5,6,5,4,5,5,2,5,4,5,5,3,4,6,4,2,2,3,3,2,2,3,4,5,4
"62464",6,5,5,6,5,5,4,4,3,3,6,5,4,6,4,3,2,2,4,2,2,5,6,5,5
"62467",4,4,3,5,5,3,2,2,4,5,3,5,3,4,3,5,4,5,4,6,5,4,4,4,3
"62468",6,6,6,5,2,4,2,2,2,3,1,6,5,6,1,4,2,3,3,5,6,6,4,6,4
"62469",4,5,5,4,4,5,5,6,6,6,5,6,4,5,5,3,3,5,6,5,5,6,5,5,6
"62470",5,6,5,5,6,5,4,2,5,3,5,3,5,5,3,6,NA,6,6,5,4,5,4,5,4
"62474",3,5,5,4,5,2,6,6,6,6,1,6,5,5,5,3,2,4,3,2,6,6,6,5,6
"62476",3,3,2,5,3,4,2,4,3,2,2,3,4,4,2,2,3,2,2,4,6,6,6,6,4
"62479",6,4,6,5,6,5,6,5,6,6,5,5,6,6,4,3,3,5,6,6,5,6,6,5,5
"62480",6,5,6,6,3,5,5,4,5,3,6,4,4,5,5,2,2,3,2,2,5,5,5,6,6
"62481",4,4,4,5,4,5,5,6,6,5,4,4,2,4,5,3,3,3,5,6,5,4,2,3,3
"62486",4,4,5,2,3,5,3,4,6,6,1,2,2,1,3,4,4,5,4,5,5,2,2,2,2
"62489",6,6,5,6,5,4,4,5,5,2,4,5,5,5,4,6,6,6,6,6,6,6,4,5,5
"62491",4,6,6,6,4,5,2,5,3,4,3,5,3,4,5,3,3,1,2,3,3,1,1,5,3
"62493",6,6,3,5,3,2,3,2,4,3,3,5,3,3,4,3,1,1,1,1,6,6,4,6,6
"62494",6,2,1,4,2,6,5,5,6,6,1,1,4,1,3,5,2,6,2,2,6,6,5,6,6
"62496",4,5,5,6,3,5,2,4,6,2,6,6,3,3,5,2,2,5,5,5,6,6,6,4,6
"62497",3,6,5,6,6,5,3,2,4,2,6,5,3,4,5,3,3,2,6,2,6,4,4,4,2
"62498",6,5,6,6,6,1,5,6,3,6,1,1,3,2,5,3,6,5,1,1,6,2,2,6,2
"62499",4,5,5,6,5,5,4,5,5,4,5,3,4,5,4,3,2,2,2,3,5,5,3,5,3
"62500",4,6,5,6,6,5,6,5,6,4,6,5,5,6,6,5,3,4,5,5,5,4,5,4,4
"62502",6,6,6,6,6,1,5,6,6,6,6,1,5,5,1,6,4,6,5,6,6,6,5,6,6
"62505",6,6,4,6,6,5,6,4,4,3,4,5,5,6,2,2,1,1,1,1,6,1,6,6,6
"62508",4,6,5,6,5,5,6,6,6,5,6,5,5,6,6,2,5,6,NA,3,4,2,6,5,3
"62509",6,6,6,5,6,6,5,6,5,5,2,3,5,3,3,6,2,2,2,1,6,2,3,6,6
"62512",2,NA,5,6,5,6,6,5,NA,5,2,5,6,3,6,3,NA,NA,3,6,6,6,3,2,6
"62514",2,NA,5,6,5,6,6,5,6,5,2,5,6,3,6,3,4,5,3,6,6,6,3,2,6
"62518",5,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,5,5,6,6,6,6,5,6
"62520",NA,6,6,6,6,4,5,4,6,6,3,6,6,6,6,6,4,4,5,NA,6,6,3,4,6
"62522",6,6,6,6,6,6,5,4,5,4,6,6,6,6,5,6,5,5,6,5,5,6,6,5,4
"62526",5,6,5,6,5,5,4,1,4,6,3,6,6,6,5,2,2,2,2,2,4,6,6,5,2
"62527",5,5,2,4,2,2,3,2,4,2,2,2,4,2,5,4,3,3,3,3,5,4,5,5,5
"62528",5,5,2,5,5,5,6,5,6,4,5,5,5,2,4,5,2,4,2,5,5,5,5,6,6
"62529",5,5,2,5,5,5,6,5,6,4,5,5,5,2,4,6,3,5,2,5,5,5,5,6,6
"62530",5,5,2,5,5,5,6,5,6,4,5,5,5,2,4,6,3,4,3,5,5,5,5,6,6
"62531",5,5,2,5,5,5,6,5,6,4,5,5,5,2,4,6,2,3,3,5,5,5,5,6,6
"62532",5,5,5,5,5,5,6,4,5,3,5,5,4,2,4,6,2,3,3,5,5,5,5,6,6
"62533",5,5,5,5,5,5,6,4,5,3,5,5,4,3,5,6,2,3,3,5,5,5,5,6,6
"62535",5,5,5,5,5,5,6,4,5,3,5,5,4,3,5,6,2,3,3,5,5,4,5,6,5
"62537",5,5,2,6,5,2,2,2,3,2,5,6,4,5,2,5,5,5,5,6,6,2,2,3,3
"62538",3,5,6,6,3,6,6,6,6,6,5,3,4,5,6,1,1,1,4,5,6,6,6,6,6
"62541",5,6,6,6,5,6,5,6,3,3,3,6,4,6,5,6,6,6,2,6,6,6,6,6,6
"62542",2,4,5,6,4,6,5,6,6,4,2,2,5,5,6,1,1,3,1,2,5,1,4,6,6
"62543",5,5,6,5,5,4,5,5,6,NA,1,2,3,2,5,3,3,6,6,6,6,6,4,6,6
"62545",6,4,4,5,4,2,5,2,3,4,1,2,3,5,5,1,1,1,2,1,3,1,4,5,5
"62546",3,4,4,5,5,4,4,4,5,3,3,2,4,5,5,3,3,2,4,5,4,2,5,4,5
"62547",6,6,6,6,5,6,5,6,2,3,2,6,5,6,5,6,6,5,2,6,6,3,6,6,5
"62548",5,6,6,5,4,4,3,5,6,5,2,5,4,2,5,6,6,6,2,6,5,1,2,5,5
"62550",5,5,6,6,5,4,4,4,5,3,4,4,5,5,5,5,4,5,5,6,4,5,5,5,4
"62551",2,4,2,2,1,4,4,3,1,1,3,6,4,2,6,1,1,1,1,1,6,4,1,6,6
"62552",1,1,1,4,1,6,6,6,6,6,1,1,1,1,2,6,6,6,6,6,6,2,6,6,3
"62553",6,6,6,6,5,6,6,6,6,6,5,4,6,5,6,4,4,4,6,5,6,6,6,5,6
"62555",3,4,3,4,2,3,4,4,2,2,1,2,2,2,2,2,3,3,2,2,5,2,4,4,4
"62556",3,5,5,5,4,5,5,4,4,4,4,5,5,5,6,3,5,4,6,4,4,6,5,NA,5
"62557",4,6,6,6,5,5,5,5,6,5,6,6,5,5,6,3,3,4,5,6,6,6,5,5,6
"62559",2,6,5,6,5,5,5,5,3,4,4,5,5,6,5,5,4,5,2,3,6,6,5,2,6
"62561",6,6,5,6,5,6,4,5,6,6,6,6,5,5,6,3,2,3,6,2,5,1,5,5,5
"62562",5,5,4,6,5,3,5,5,6,5,3,4,2,5,6,5,5,6,6,5,5,5,4,3,3
"62565",6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,3,2,6,6,6,6,6,6,6
"62567",5,5,6,5,4,6,6,4,6,2,6,5,4,5,5,2,2,2,5,5,6,6,6,6,6
"62570",5,2,2,1,3,3,4,2,2,2,2,1,2,1,1,5,4,6,5,2,6,5,6,6,6
"62573",2,4,4,4,3,6,6,6,6,1,4,5,4,4,5,1,1,3,3,4,6,4,5,4,4
"62574",5,5,4,4,6,4,3,3,5,3,4,5,4,5,3,6,6,5,3,5,3,3,5,5,4
"62577",5,5,5,5,5,2,1,2,2,3,2,2,5,4,2,2,2,2,1,3,5,1,4,6,5
"62578",6,5,6,6,5,5,5,6,6,4,4,4,5,6,5,6,5,6,5,5,6,5,5,6,5
"62582",4,6,5,6,6,5,3,3,5,5,6,4,6,4,6,2,1,3,2,2,6,6,5,6,6
"62589",6,5,1,5,5,5,4,3,5,5,5,3,3,5,4,6,4,2,5,3,4,5,4,5,5
"62590",6,5,6,5,5,5,4,4,6,3,6,5,3,6,4,6,6,6,6,5,4,6,4,5,5
"62594",5,6,NA,5,5,6,5,6,5,4,6,6,6,6,6,5,4,3,6,5,6,1,5,4,5
"62597",5,5,5,5,4,6,2,4,5,2,6,5,5,5,5,3,2,2,2,3,6,5,5,6,6
"62599",6,5,5,6,6,6,1,5,4,6,1,1,1,5,1,3,2,2,1,6,6,2,1,6,3
"62604",6,5,6,6,6,6,5,6,6,5,6,6,5,6,NA,5,3,5,4,2,6,3,6,6,6
"62605",4,5,5,6,5,5,5,3,3,6,3,4,4,4,5,2,1,1,5,5,5,5,5,6,4
"62606",5,6,6,6,6,5,5,3,6,6,6,3,5,6,4,6,6,6,6,6,5,6,5,3,3
"62610",6,6,5,6,6,5,6,5,6,6,4,3,3,6,4,4,3,3,4,2,3,4,4,5,3
"62611",5,2,4,3,2,4,3,4,4,3,3,5,1,5,4,3,3,3,2,6,3,5,2,4,3
"62612",5,4,4,3,3,4,2,4,3,5,2,4,3,4,4,5,4,4,4,4,4,5,3,3,4
"62613",3,2,1,3,1,3,1,2,3,5,4,3,1,3,2,3,2,3,4,4,2,3,2,6,5
"62615",1,5,5,6,6,3,1,4,2,5,4,6,6,5,3,6,6,3,4,6,6,1,6,6,4
"62617",5,6,6,6,6,6,6,6,6,6,4,1,6,1,6,3,3,6,6,4,6,6,6,2,6
"62618",5,5,6,5,4,4,3,4,2,3,6,5,4,6,5,1,1,1,4,5,4,4,2,3,2
"62622",6,6,6,6,6,6,6,5,6,3,6,6,6,6,6,3,1,2,5,3,6,2,6,6,6
"62623",6,6,2,6,6,5,4,2,6,5,6,6,5,6,5,2,3,3,3,2,6,6,6,5,6
"62625",6,6,6,6,6,6,5,5,6,5,5,6,5,5,6,5,3,5,5,3,6,5,6,6,5
"62627",6,3,2,6,3,5,5,5,5,3,2,1,1,3,3,4,3,6,3,6,2,1,1,5,4
"62635",4,5,2,5,5,4,4,NA,3,2,3,5,5,3,4,5,3,2,3,3,4,4,5,5,5
"62638",5,6,6,2,6,6,3,5,6,5,6,6,5,5,6,6,5,5,6,6,5,6,6,4,6
"62640",6,5,6,6,6,6,5,5,2,6,1,2,5,5,2,6,6,3,6,2,6,1,6,6,2
"62642",5,5,5,6,5,6,5,5,4,4,5,4,4,5,5,6,5,5,5,5,6,2,5,4,6
"62643",6,4,4,6,4,3,4,2,5,5,5,3,4,4,4,3,3,2,3,3,3,3,3,5,4
"62644",5,6,5,6,4,5,6,5,6,5,6,3,5,5,5,3,3,2,2,1,4,6,6,6,6
"62645",6,5,5,6,5,5,5,5,6,4,1,3,2,5,5,5,5,3,5,5,5,5,5,3,6
"62646",6,6,6,3,6,3,4,6,2,5,1,6,6,6,6,5,2,5,4,3,4,5,6,3,6
"62647",3,5,5,6,5,5,5,5,5,5,3,5,2,6,2,6,5,2,5,3,2,1,3,3,4
"62648",6,6,5,5,2,1,4,6,3,NA,4,6,1,3,5,3,3,3,6,3,6,5,4,3,5
"62650",5,5,1,6,6,6,6,5,6,6,5,6,6,5,6,5,3,5,5,2,6,6,5,4,6
"62652",6,6,5,3,4,4,3,3,6,6,1,4,3,3,5,6,4,NA,2,4,6,4,3,3,3
"62653",3,3,5,5,5,4,6,5,5,4,3,6,5,6,6,2,1,2,3,5,6,1,5,5,6
"62654",3,4,5,6,5,5,6,6,6,5,4,3,5,6,6,4,4,6,3,6,5,6,5,5,5
"62657",5,6,4,2,5,6,3,5,5,6,4,5,4,5,5,4,2,4,6,6,5,5,4,4,5
"62662",3,5,4,5,4,5,4,4,2,2,6,3,6,5,6,1,1,1,2,2,5,5,5,5,2
"62664",6,5,6,5,6,6,5,5,6,5,5,6,5,1,5,3,2,3,2,3,5,3,4,6,6
"62665",4,6,6,6,6,4,5,3,6,6,6,6,5,6,3,6,6,6,5,6,5,4,5,1,6
"62667",6,6,6,6,6,5,6,5,6,6,2,5,6,6,6,6,6,6,5,5,5,1,6,6,5
"62668",2,6,5,4,5,1,6,5,4,3,3,6,6,5,6,3,3,3,3,NA,6,3,5,6,2
"62669",2,6,6,5,6,5,4,6,5,3,4,4,4,4,5,2,3,3,4,5,5,5,5,4,4
"62670",5,4,2,6,4,5,5,5,5,5,4,4,5,5,5,4,3,3,5,4,5,5,4,4,5
"62673",5,6,5,5,4,5,5,5,NA,5,6,3,4,6,5,6,3,2,5,1,4,3,4,5,5
"62675",6,6,5,5,6,6,6,4,6,5,5,3,4,5,5,4,4,3,4,3,5,3,4,5,5
"62677",6,6,6,6,6,1,4,4,3,6,2,6,6,6,6,1,3,1,2,2,6,1,6,3,1
"62679",5,4,6,5,6,5,4,4,6,5,3,4,6,5,4,5,2,3,4,3,5,6,5,6,6
"62681",6,5,6,6,5,5,4,4,6,5,6,3,4,4,5,3,3,3,5,6,2,1,4,5,6
"62682",4,5,5,6,5,3,6,3,4,6,3,5,4,5,6,4,4,3,5,3,5,4,5,4,3
"62683",1,1,6,6,6,6,5,6,6,6,3,6,6,6,6,6,6,6,6,6,6,3,5,5,2
